"rawText","predictedLabel"
"b'COLABORATORI din rindul clevilor: Burduja Ovidiu, clasa a Vi-a B, Marin, clasa a X-n E,  Bejan Elena, clasa a X-a C, Focya Maria, clasa a Xl-a D, Ignat Bianca Gabriela, clasa IX-C.'","autor"
"b'DIRECTOR: PROF, Dobre Viorica DIRECTOR Adjunct: Vulpoi Genovica REDACTOR \xc2\xa7EF:prof. Vacariu Claudia REDACTORI COORDONATORE:  Prof. Agache Luminita, Prof. Boroeanu lonels, Prof. Dardari Bogdan'","autor"
"b'COLECTIVUL DE REDACTIE:'","text"
"b'1. Cuvint inainte,  2. Picituri de infelepciune. . Din creatiile noastr  4. Colf de suflet  5. Sinaxar... mmm 6. Pelerina] In ...Locuri Sfinte......... 7. ABC erestin-ortodox,  8. Jocuri yi ghicitori crestine.'","text"
"b'CUPRINS:'","text"
"b'Redactia'","text"
"b'incheiem acest cuvint cu frumoasele ginduri spuse candva de pirintele Dumitru Stiniloae: ,, Orice copil apare pe lume este un dar al lui Dumnezcu 5i, ca atare, 0 minune...Ficare copil vine la existenfa ca un mod propriu al umanitati, spre imbogitirea ci. Fiecare  \xc2\xa9 chemat si se incadreze in unitatea. umanitifii gi niciodat\xc3\xa9 nu e perfect in ceea ce reprezinta gi aduce el. Fiecare e adus 1a existent\xc3\xa9 cu pomnirea smeriti de a invlta de la alti gi cu pornirea de mai tirziu de a invita pe ali...""'","text"
"b'Revista CUVINTE PENTRU SUFLET a apirut ca o urmare fireascd a frumoasclor dezbateri, discutii yi creatii din cadrul orelor de Religie. In paginile ci revista cuprinde gindurile 5i frumoasele voostre triiri religioase materializate in poezii, compuneri 5i eseuri Inceream si subliniem gi noi, dack mai era nevoie, rolul credinfei, al educatiei religioase in viata omului, de la virsta copilarici gi pina la maturitate Invititura sfinth se dezvaluie mere yi capdth noi sensuri, si, de accea, incercim sa aducem in paginile noastre cuvinte cu adevarat folositoare i ziditoare, cuvinte spuse 5i explicate yi de oameni mari, de cameni sfingi. Aducem in fata dragi copi, pring i profesori, . personalititi care s-au impus in cultura laicd si religioast. Dar vrem si vi prezentim . gi ereatile celor care sunt acum micii ralentafi ai seolii'","text"
"b'Dragi cititori,'","text"
"b'CUVANT INAINTE'","titlu"
"b'(MATEL 28, 1-10)'","autor"
"b'5i infitisarea lui era ca fulgerul, 5i imbricamintea lui, alba ca z3pada  Si de frica lui s-au cutremurat cei ce pdzeau gi s-au facut morti  lar ingerul, rispunziind, a zis femeilor: Nu va remefi, ca stiu ci pe lisus Cel rastignit II cautafi  Nu este aici; cici S-a sculat precum a zis; venifi de vedeti locul unde a  9i degraba. mergind, spunei ucenicilor Lui ci S-a sculat din morfi 5i iath va merge inaintea voustri in Galileen; acolo II veti vedea. Tat, v-am spus voud.  far plecand ele in graba de la mormint, cu fried si cu bucurie mare au alergat sa vesteased ucenicilor Lui.  Dar cand mergeau ele si vesteasc ucenicilor, iath lisus le-a intimpinat, zicand: Bucura-va! lar ele, apropiindu-se, au cuprins picioarele Lui gi I s-au inchinat.  Atunci lisus le-a zis: Nu vi remefi. Ducefi fratilor Mei, ca sa mearga in Galileea, yi acolo Ma'","text"
"b',, Dupi ce a trecut simbita, cand se lumina de ziua nti a siptimdnii (Duminica), au venit Maria Magdalena 5i cealalti Marie, ca si vada mormintul.  91 int, s-a ficut cutremur mare, ingerul Domnulul, coborind din cer gi venind, a privalit piatra 5i sedea deasupra'","text"
"b'DIN SFANTA SCRIPTURA:'","text"
"b'2.PICATURL DE INTELEPCIUNE'","titlu"
"b'(Sfintul Ioan Guri de Aur)'","autor"
"b'lubirea este un mare invafitor gi poste si-i intoared pe oameni de la raticire, si le schimbe felul de  si-i indrume spre filozofic. Ea poate sa facd din pictre oamen\'.""'","text"
"b'DRAGOSTE'","titlu"
"b'(Sfintul Ioan Guri de Aur)'","text"
"b'. Aceasta este prietenia: cind cel care ubeste 5i cel care este iubit nu sunt .... doud . persoane deoscbite, ci un  singur om, ceea ce nu implineste in alt parte decit numai in dragoste.""'","text"
"b'PRIETENIE'","titlu"
"b'(Sfintul Ioan Guri de Aur)'","autor"
"b'..Cuvintele dumnezciesti sunt ca o comonra de diferite . leacuri: daca cineva are. nevoie si stingideznidejdea, sa 0 poftd, sa calce in  picioare dragostea de bani, sa disprefuiasca durerea, si-i revind veselia, si-gi rabdarea, va gsi mare sprijin in ele.""'","text"
"b'SFANTA SCRIPTURA'","text"
"b'SFINTII PARINTI DESPRE :'","titlu"
"b'48'","text"
"b'APOSTOL (trims): cu acest nume sunt indicate in Noul Testament uncle persoanc alse 5i trimise in misiune cu imputerniciri si daruri deoscbite.  Cel dinti care poarth acest titlu este Fiul lui Dumnezcu intrupat, lisus Hristos, . pe Care Tatil L-a sfinfit si L-a trimis in lume""(loan 10,36) ,5i Caruia Fa dat toata puterea in cer gi pe pamant""(Matei 28,18). E1 este Apostolul ceresc, este ,,Ce/ (rimis"" sa faca voin Tatalui, adicd. s. realizeze mintuirea lumii, prin invaf\xc3\xa9tura 5i jertfa Sa. Intru aceasta El nu este numai .. Imparanul gi Imvagatorul"", ci si., Apostolul gi Arhiereut marturisirii noastre""(Evrei 3.1)  Din aceasti intreiti a Lui puterea El a impartigit si celor douisprezece persoane , chemate mai. intii individual gi alese, apoi, pe care le-a numit apostoli, Pe acestia ia format treptat in , gcoala Sa"" 5i le-a dat, de la inceput, 5i unele harisme, sau puteri spirituale , cu care st lucreze gi care au sporit Ia Cincizecime. Pe acestia i-a sfintit yi i-n hirotonit in ziua Invierii, prin suflarea Duhului Sint asupra lor, dandu-le gi puterea de a ierta picatele din apostolia 5i preotia Lui. Cu aceste puter i-a trimis  apoi propovduiased 5i. si. boteze. toate neamurile. El find cu ci nevizut purured, le-a dat 5i porunci si oficieze Sfintele Taine.'","text"
"b'AMIN : cuvint adesca folosit de Domnul Hristos in vorbirea Sa, pentru a intri cele afirmate: .. Amin, amin, zic voua""!(loan 5, 19.24, 25) in sensul de ,, adevarat ,  adevirat zic you...!  Alteori, prin amin se exprimd 0 doring\xc3\xa9 in sens optativ,..asa sa fle!""'","text"
"b'49'","text"
"b'a'","text"
"b'|_It_'","text"
"b'(Pilde XV,3)'","text"
"b'nt'","text"
"b'Lata patru proverbe biblice! Am scris, insd, doar consoanele. Pentru a le putea citi, voi trebuie sa     completati vocalele care lipsesc.'","text"
"b'8.JOCURI SI GHICTTORI CRESTINE'","titlu"
"b'ARHIEREU: mare preot sau mai mare peste preoti. La evrei arhiereul era , supremul preot"" ales dintre fii ndscuti ai familici lui Aaron din neamul lui. Levi.  Preofia, athicria sau harul arhicresc reprezinta o  demnitate, o chemare gi 0 sfintire speciald, ea se da de sus, ne se ia de la sine.'","text"
"b'APOSTOLIE: apostolat, slujirea pe care 0 da Hristos si pe care 0 indeplineste un apostol, sau trimis al lui     Hristos sau al Biserici, in numele gi sub ascultarea ci.'","text"
"b'so'","text"
"b'alt\xc3\xa9'","text"
"b'Sfint.'","text"
"b'Hirotoniel.'","text"
"b'Taina'","text"
"b'stivargese'","text"
